trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,fixation.stopped,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
65,0,65,0,119.00555910000003,,118.95189619999996,10,119.00555910000003,119.00555910000003,0.03805880000004436,120.00500039999997,120.93724769999994,[0.1388888888888889],[-0.37962962962962965],[1],[0],[0],[1.9479570999999396],[],1,001,2024-10-10_13h48.21.660,Visual search exp,2024.1.5,None,2024-10-10 13h48.37.556148 +0530,
66,0,66,0,120.97190610000007,,120.94156109999994,5,120.97190610000007,120.97190610000007,0.019741999999951076,121.97190090000004,123.05661959999998,[-0.06944444444444445],[0.49907407407407406],[1],[0],[0],[2.095721600000161],[],1,001,2024-10-10_13h48.21.660,Visual search exp,2024.1.5,None,2024-10-10 13h48.37.556148 +0530,
67,0,67,0,123.09176039999988,,123.06136409999999,5,123.09176039999988,123.09176039999988,0.0201488000000154,124.0908617,126.20719149999991,[0.27870370370370373],[-0.47314814814814815],[1],[0],[0],[3.1261692999999013],['target'],1,001,2024-10-10_13h48.21.660,Visual search exp,2024.1.5,None,2024-10-10 13h48.37.556148 +0530,
68,0,68,0,126.2438365999999,,126.21150769999986,5,126.2438365999999,126.2438365999999,0.020854000000099404,127.24676969999996,127.46024480000005,[0.20185185185185187],[-0.21203703703703702],[1],[0],[0],[1.2284242000000631],['target'],1,001,2024-10-10_13h48.21.660,Visual search exp,2024.1.5,None,2024-10-10 13h48.37.556148 +0530,
69,0,69,0,127.49462689999996,,127.4649801999999,5,127.49462689999996,127.49462689999996,0.0192979999999352,128.49574549999988,128.89740460000007,[-0.3972222222222222],[-0.1287037037037037],[1],[0],[0],[1.4136625999999524],['target'],1,001,2024-10-10_13h48.21.660,Visual search exp,2024.1.5,None,2024-10-10 13h48.37.556148 +0530,
70,0,70,0,128.95149109999988,,128.90179940000007,10,128.95149109999988,128.95149109999988,0.03477240000006532,129.95539770000005,130.53711440000006,[0.022222222222222223],[0.24722222222222223],[1],[0],[0],[1.6010908000000654],['target'],1,001,2024-10-10_13h48.21.660,Visual search exp,2024.1.5,None,2024-10-10 13h48.37.556148 +0530,
71,0,71,0,130.59178070000007,,130.54143410000006,10,130.59178070000007,130.59178070000007,0.036055300000043644,131.59558330000004,132.3826024,[0.044444444444444446],[-0.17777777777777778],[1],[0],[0],[1.8056850999998915],['target'],1,001,2024-10-10_13h48.21.660,Visual search exp,2024.1.5,None,2024-10-10 13h48.37.556148 +0530,
72,0,72,0,132.44440469999995,,132.38737880000008,10,132.44440469999995,132.44440469999995,0.03777730000001611,133.44192610000005,134.03727279999998,[0.03518518518518519],[-0.39351851851851855],[1],[0],[0],[1.6125813999999536],['target'],1,001,2024-10-10_13h48.21.660,Visual search exp,2024.1.5,None,2024-10-10 13h48.37.556148 +0530,
73,0,73,0,134.09367810000003,,134.04173349999996,10,134.09367810000003,134.09367810000003,0.03692300000011528,135.1062397999999,136.27612169999998,[-0.28888888888888886],[0.2824074074074074],[1],[0],[0],[2.197987000000012],['target'],1,001,2024-10-10_13h48.21.660,Visual search exp,2024.1.5,None,2024-10-10 13h48.37.556148 +0530,
74,0,74,0,136.31133780000005,,136.28062969999996,5,136.31133780000005,136.31133780000005,0.019828199999892604,137.3240667,137.99202179999997,[-0.20555555555555555],[0.09351851851851851],[1],[0],[0],[1.6921669999999267],['target'],1,001,2024-10-10_13h48.21.660,Visual search exp,2024.1.5,None,2024-10-10 13h48.37.556148 +0530,
75,0,75,0,138.02486299999987,,137.99635169999988,5,138.02486299999987,138.02486299999987,0.01825349999990067,139.0270814999999,139.21251439999992,[0.14074074074074075],[0.18703703703703703],[1],[0],[0],[1.1983002999998007],['target'],1,001,2024-10-10_13h48.21.660,Visual search exp,2024.1.5,None,2024-10-10 13h48.37.556148 +0530,
76,0,76,0,139.27808830000004,,139.22149050000007,10,139.27808830000004,139.27808830000004,0.04054120000000694,140.291248,140.9404930999999,[-0.49722222222222223],[0.03796296296296296],[1],[0],[0],[1.6796514000000116],['target'],1,001,2024-10-10_13h48.21.660,Visual search exp,2024.1.5,None,2024-10-10 13h48.37.556148 +0530,
77,0,77,0,141.00363820000007,,140.94534989999988,10,141.00363820000007,141.00363820000007,0.04201940000007198,,141.95596419999993,[-0.4527777777777778],[0.11574074074074074],[1],[0],[0],[0.9693033000000923],['target'],1,001,2024-10-10_13h48.21.660,Visual search exp,2024.1.5,None,2024-10-10 13h48.37.556148 +0530,
